,adds,consenter_ids,created,creator,draft_picks,drops,roster_ids,settings,status,status_updated,transaction_id,type,waiver_budget,leg,metadata,adds_named,drops_named,faab_spent
206,{'5347': 8},[8],1667351361214,jakesmyth,[],{'5000': 8},[8],"TransactionSettings(seq=1, waiver_bid=54)",TransactionStatus.FAILED,1667372708116,893339993534345216,TransactionType.WAIVER,[],8,{'notes': 'This player was claimed by another owner.'},{'Nyheim Hines': 'jakesmyth'},{'Chase Edmonds': 'jakesmyth'},54
13,{'5284': 4},[4],1663060415027,andyhan4,[],{'2431': 4},[4],"TransactionSettings(seq=2, waiver_bid=20)",TransactionStatus.FAILED,1663139073941,875342460778393600,TransactionType.WAIVER,[],1,{'notes': 'This player was claimed by another owner.'},{'Jeff Wilson': 'andyhan4'},{'Mike Davis': 'andyhan4'},20
153,{'7607': 4},[4],1666708375222,andyhan4,[],{'3161': 4},[4],"TransactionSettings(seq=1, waiver_bid=15)",TransactionStatus.FAILED,1666767889503,890643114816151552,TransactionType.WAIVER,[],7,{'notes': 'This player was claimed by another owner.'},{'Michael Carter': 'andyhan4'},{'Carson Wentz': 'andyhan4'},15
5,{'5284': 1},[1],1663114252848,carlogesualdo,[],{'8138': 1},[1],"TransactionSettings(seq=3, waiver_bid=14)",TransactionStatus.FAILED,1663139073941,875568272966397952,TransactionType.WAIVER,[],1,{'notes': 'This player was claimed by another owner.'},{'Jeff Wilson': 'carlogesualdo'},{'James Cook': 'carlogesualdo'},14
151,{'7607': 14},[14],1666711093630,mattlatham,[],,[14],"TransactionSettings(seq=2, waiver_bid=11)",TransactionStatus.FAILED,1666767889503,890654516645732352,TransactionType.WAIVER,[],7,{'notes': 'This player was claimed by another owner.'},{'Michael Carter': 'mattlatham'},,11
207,{'5347': 14},[14],1667350722048,mattlatham,[],{'6039': 14},[14],"TransactionSettings(seq=2, waiver_bid=11)",TransactionStatus.FAILED,1667372708116,893337312677883904,TransactionType.WAIVER,[],8,{'notes': 'This player was claimed by another owner.'},{'Nyheim Hines': 'mattlatham'},{'Ty Johnson': 'mattlatham'},11
57,{'4177': 14},[14],1664220226625,mattlatham,[],{'8228': 14},[14],"TransactionSettings(seq=2, waiver_bid=11)",TransactionStatus.FAILED,1664348707363,880207063203463168,TransactionType.WAIVER,[],3,{'notes': 'This player was claimed by another owner.'},{'Mack Hollins': 'mattlatham'},{'Jaylen Warren': 'mattlatham'},11
11,{'5284': 3},[3],1663068280733,phan497,[],,[3],"TransactionSettings(seq=4, waiver_bid=6)",TransactionStatus.FAILED,1663139073941,875375451940569088,TransactionType.WAIVER,[],1,{'notes': 'This player was claimed by another owner.'},{'Jeff Wilson': 'phan497'},,6
126,{'1837': 2},[2],1666099212697,petenotpetey,[],{'4197': 2},[2],"TransactionSettings(seq=2, waiver_bid=6)",TransactionStatus.FAILED,1666163096289,888088102000832512,TransactionType.WAIVER,[],6,{'notes': 'This player was claimed by another owner.'},{'Jimmy Garoppolo': 'petenotpetey'},{'Isaiah McKenzie': 'petenotpetey'},6
96,{'5947': 11},[11],1665503462946,lauramarkey,[],{'5970': 11},[11],"TransactionSettings(seq=5, waiver_bid=5)",TransactionStatus.FAILED,1665558292051,885589346437505024,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'},{'Jakobi Meyers': 'lauramarkey'},{'Greg Dortch': 'lauramarkey'},5
277,{'4066': 13},[13],1667389818442,llatham65,[],,[13],"TransactionSettings(seq=0, waiver_bid=5)",TransactionStatus.FAILED,1667541917193,893501294839652352,TransactionType.WAIVER,[],9,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Evan Engram': 'llatham65'},,5
380,{'8138': 10},[10],1670383378535,alexludtke,[],,[10],"TransactionSettings(seq=3, waiver_bid=5)",TransactionStatus.FAILED,1670400318240,906057195911892992,TransactionType.WAIVER,[],13,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'James Cook': 'alexludtke'},,5
25,{'6847': 8},[8],1663735876950,jakesmyth,[],,[8],"TransactionSettings(seq=4, waiver_bid=5)",TransactionStatus.FAILED,1663743887989,878175553423908864,TransactionType.WAIVER,[],2,{'notes': 'This player was claimed by another owner.'},{'Devin Duvernay': 'jakesmyth'},,5
26,{'6951': 1},[1],1663721402975,carlogesualdo,[],{'7606': 1},[1],"TransactionSettings(seq=6, waiver_bid=5)",TransactionStatus.FAILED,1663743887989,878114845172604928,TransactionType.WAIVER,[],2,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Eno Benjamin': 'carlogesualdo'},{'Kadarius Toney': 'carlogesualdo'},5
107,{'5947': 14},[14],1665462101196,mattlatham,[],{'1352': 14},[14],"TransactionSettings(seq=6, waiver_bid=3)",TransactionStatus.FAILED,1665558292051,885415862683758592,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'},{'Jakobi Meyers': 'mattlatham'},{'Robert Woods': 'mattlatham'},3
425,{'BAL': 10},[10],1670438935414,alexludtke,[],{'NYJ': 10},[10],"TransactionSettings(seq=1, waiver_bid=2)",TransactionStatus.FAILED,1670570076053,906290218351628288,TransactionType.WAIVER,[],14,{'notes': 'This player was claimed by another owner.'},{'Baltimore Ravens': 'alexludtke'},{'New York Jets': 'alexludtke'},2
334,{'8135': 2},[2],1669119961306,petenotpetey,[],{'8119': 2},[2],"TransactionSettings(seq=2, waiver_bid=2)",TransactionStatus.FAILED,1669190718965,900758039974543360,TransactionType.WAIVER,[],11,{'notes': 'This player was claimed by another owner.'},{'Treylon Burks': 'petenotpetey'},{'Jahan Dotson': 'petenotpetey'},2
412,{'6149': 2},[2],1670544068851,petenotpetey,[],{'2197': 2},[2],"TransactionSettings(seq=1, waiver_bid=2)",TransactionStatus.FAILED,1670674485642,906731179947069440,TransactionType.WAIVER,[],14,{'notes': 'This player was claimed by another owner.'},{'Darius Slayton': 'petenotpetey'},{'Brandin Cooks': 'petenotpetey'},2
264,{'4066': 11},[11],1667519082867,lauramarkey,[],{'6126': 11},[11],"TransactionSettings(seq=2, waiver_bid=2)",TransactionStatus.FAILED,1667541917193,894043469134430208,TransactionType.WAIVER,[],9,{'notes': 'This player was claimed by another owner.'},{'Evan Engram': 'lauramarkey'},{'Irv Smith': 'lauramarkey'},2
382,{'4951': 2},[2],1670381738912,petenotpetey,[],{'2197': 2},[2],"TransactionSettings(seq=4, waiver_bid=2)",TransactionStatus.FAILED,1670400318240,906050318834700288,TransactionType.WAIVER,[],13,{'notes': 'This player was claimed by another owner.'},{'DJ Chark': 'petenotpetey'},{'Brandin Cooks': 'petenotpetey'},2
245,{'6945': 14},[14],1666791550930,mattlatham,[],{'5995': 14},[14],"TransactionSettings(seq=1, waiver_bid=1)",TransactionStatus.FAILED,1666898701725,890991979020865536,TransactionType.WAIVER,[],8,{'notes': 'This player was claimed by another owner.'},{'Antonio Gibson': 'mattlatham'},{'Justice Hill': 'mattlatham'},1
34,{'8408': 11},[11],1663629136160,lauramarkey,[],{'8211': 11},[11],"TransactionSettings(seq=9, waiver_bid=1)",TransactionStatus.FAILED,1663743887989,877727850101559296,TransactionType.WAIVER,[],2,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Jordan Mason': 'lauramarkey'},{'Tyrion Davis-Price': 'lauramarkey'},1
289,{'WAS': 14},[14],1668523229063,mattlatham,[],{'MIA': 14},[14],"TransactionSettings(seq=15, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,898255163540840448,TransactionType.WAIVER,[],10,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Washington Commanders': 'mattlatham'},{'Miami Dolphins': 'mattlatham'},0
290,{'CIN': 14},[14],1668523213584,mattlatham,[],{'MIA': 14},[14],"TransactionSettings(seq=14, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,898255098617212928,TransactionType.WAIVER,[],10,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Cincinnati Bengals': 'mattlatham'},{'Miami Dolphins': 'mattlatham'},0
288,{'DEN': 14},[14],1668523259048,mattlatham,[],{'MIA': 14},[14],"TransactionSettings(seq=16, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,898255289307074560,TransactionType.WAIVER,[],10,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Denver Broncos': 'mattlatham'},{'Miami Dolphins': 'mattlatham'},0
304,{'4017': 1},[1],1668373848799,carlogesualdo,[],{'ATL': 1},[1],"TransactionSettings(seq=5, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,897628617302597632,TransactionType.WAIVER,[],10,{'notes': 'This player was claimed by another owner.'},{'Deshaun Watson': 'carlogesualdo'},{'Atlanta Falcons': 'carlogesualdo'},0
292,{'7002': 14},[14],1668522801218,mattlatham,[],,[14],"TransactionSettings(seq=10, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,898253369028947968,TransactionType.WAIVER,[],10,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Juwan Johnson': 'mattlatham'},,0
293,{'6853': 14},[14],1668522781434,mattlatham,[],,[14],"TransactionSettings(seq=9, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,898253286048878592,TransactionType.WAIVER,[],10,{'notes': 'This player was claimed by another owner.'},{'Van Jefferson': 'mattlatham'},,0
294,{'8205': 14},[14],1668522776015,mattlatham,[],,[14],"TransactionSettings(seq=8, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,898253263319826432,TransactionType.WAIVER,[],10,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Isiah Pacheco': 'mattlatham'},,0
302,{'4017': 2},[2],1668513254028,petenotpetey,[],{'8119': 2},[2],"TransactionSettings(seq=4, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,898213325211717632,TransactionType.WAIVER,[],10,{'notes': 'This player was claimed by another owner.'},{'Deshaun Watson': 'petenotpetey'},{'Jahan Dotson': 'petenotpetey'},0
284,{'7002': 1},[1],1668532966475,carlogesualdo,[],{'7594': 1},[1],"TransactionSettings(seq=12, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,898296005207252992,TransactionType.WAIVER,[],10,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Juwan Johnson': 'carlogesualdo'},{'Chuba Hubbard': 'carlogesualdo'},0
330,{'8148': 1},[1],1669136007395,carlogesualdo,[],{'8126': 1},[1],"TransactionSettings(seq=8, waiver_bid=0)",TransactionStatus.FAILED,1669190718965,900825342150041600,TransactionType.WAIVER,[],11,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Jameson Williams': 'carlogesualdo'},"{""Wan'Dale Robinson"": 'carlogesualdo'}",0
337,{'4147': 8},[8],1668990125884,jakesmyth,[],{'5000': 8},[8],"TransactionSettings(seq=7, waiver_bid=0)",TransactionStatus.FAILED,1669190718965,900213470745051136,TransactionType.WAIVER,[],11,{'notes': 'This player was claimed by another owner.'},{'Samaje Perine': 'jakesmyth'},{'Chase Edmonds': 'jakesmyth'},0
357,{'8122': 8},[8],1669793798359,jakesmyth,[],,[8],"TransactionSettings(seq=1, waiver_bid=0)",TransactionStatus.FAILED,1669795522182,903584317421436928,TransactionType.WAIVER,[],12,{'notes': 'This player was claimed by another owner.'},{'Zonovan Knight': 'jakesmyth'},,0
359,{'8122': 1},[1],1669739880611,carlogesualdo,[],,[1],"TransactionSettings(seq=3, waiver_bid=0)",TransactionStatus.FAILED,1669795522182,903358169995276288,TransactionType.WAIVER,[],12,{'notes': 'This player was claimed by another owner.'},{'Zonovan Knight': 'carlogesualdo'},,0
397,{'4080': 1},[1],1670814327089,carlogesualdo,[],{'6012': 1},[1],"TransactionSettings(seq=1, waiver_bid=0)",TransactionStatus.FAILED,1671005119562,907864725151625216,TransactionType.WAIVER,[],14,{'notes': 'This player was claimed by another owner.'},{'Zay Jones': 'carlogesualdo'},{'Travis Homer': 'carlogesualdo'},0
287,{'5248': 4},[4],1668524152031,andyhan4,[],{'5110': 4},[4],"TransactionSettings(seq=1, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,898259034749247488,TransactionType.WAIVER,[],10,{'notes': 'This player was claimed by another owner.'},{'Gus Edwards': 'andyhan4'},{'Russell Gage': 'andyhan4'},0
1,{'3423': 14},[14],1663125810752,mattlatham,[],{'5995': 14},[14],"TransactionSettings(seq=12, waiver_bid=0)",TransactionStatus.FAILED,1663139073941,875616750329446400,TransactionType.WAIVER,[],1,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Robbie Anderson': 'mattlatham'},{'Justice Hill': 'mattlatham'},0
283,{'8172': 1},[1],1668533075967,carlogesualdo,[],{'7594': 1},[1],"TransactionSettings(seq=0, waiver_bid=0)",TransactionStatus.FAILED,1668692127982,898296464449785856,TransactionType.WAIVER,[],10,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Greg Dulcich': 'carlogesualdo'},{'Chuba Hubbard': 'carlogesualdo'},0
282,{'8167': 1},[1],1668568532565,carlogesualdo,[],{'8126': 1},[1],"TransactionSettings(seq=13, waiver_bid=0)",TransactionStatus.FAILED,1668585894612,898445180200574976,TransactionType.WAIVER,[],10,{'notes': 'This player was claimed by another owner.'},{'Christian Watson': 'carlogesualdo'},"{""Wan'Dale Robinson"": 'carlogesualdo'}",0
30,{'PHI': 14},[14],1663701523084,mattlatham,[],{'IND': 14},[14],"TransactionSettings(seq=11, waiver_bid=0)",TransactionStatus.FAILED,1663743887989,878031462866296832,TransactionType.WAIVER,[],2,{'notes': 'This player was claimed by another owner.'},{'Philadelphia Eagles': 'mattlatham'},{'Indianapolis Colts': 'mattlatham'},0
50,{'8121': 4},[4],1664303698366,andyhan4,[],{'7090': 4},[4],"TransactionSettings(seq=5, waiver_bid=0)",TransactionStatus.FAILED,1664348707363,880557169060339712,TransactionType.WAIVER,[],3,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Romeo Doubs': 'andyhan4'},{'Darnell Mooney': 'andyhan4'},0
51,{'4958': 3},[3],1664297318456,phan497,[],{'3678': 3},[3],"TransactionSettings(seq=7, waiver_bid=0)",TransactionStatus.FAILED,1664348707363,880530409778290688,TransactionType.WAIVER,[],3,{'notes': 'This player was claimed by another owner.'},{'Brett Maher': 'phan497'},{'Wil Lutz': 'phan497'},0
52,{'8121': 3},[3],1664297249211,phan497,[],,[3],"TransactionSettings(seq=6, waiver_bid=0)",TransactionStatus.FAILED,1664348707363,880530119343742976,TransactionType.WAIVER,[],3,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Romeo Doubs': 'phan497'},,0
56,{'5133': 14},[14],1664220297110,mattlatham,[],{'3423': 14},[14],"TransactionSettings(seq=4, waiver_bid=0)",TransactionStatus.FAILED,1664348707363,880207358838861824,TransactionType.WAIVER,[],3,{'notes': 'This player was claimed by another owner.'},{'Tyler Conklin': 'mattlatham'},{'Robbie Anderson': 'mattlatham'},0
69,{'JAX': 14},[14],1664934974384,mattlatham,[],{'CIN': 14},[14],"TransactionSettings(seq=6, waiver_bid=0)",TransactionStatus.FAILED,1664953523700,883204932587859968,TransactionType.WAIVER,[],4,{'notes': 'This player was claimed by another owner.'},{'Jacksonville Jaguars': 'mattlatham'},{'Cincinnati Bengals': 'mattlatham'},0
77,{'5209': 1},[1],1664757091775,carlogesualdo,[],{'6659': 1},[1],"TransactionSettings(seq=0, waiver_bid=0)",TransactionStatus.FAILED,1664757923875,882458838849376256,TransactionType.WAIVER,[],4,{'notes': 'One of the players you are trying to drop has already started playing.'},{'Mike Boone': 'carlogesualdo'},{'Craig Reynolds': 'carlogesualdo'},0
78,{'3423': 11},[11],1664748885506,lauramarkey,[],,[11],"TransactionSettings(seq=9, waiver_bid=0)",TransactionStatus.FAILED,1664953523700,882424419262619648,TransactionType.WAIVER,[],4,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Robbie Anderson': 'lauramarkey'},,0
99,{'59': 9},[9],1665502845457,niclath95,[],,[9],"TransactionSettings(seq=7, waiver_bid=0)",TransactionStatus.FAILED,1665558292051,885586756500787200,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'},{'Mason Crosby': 'niclath95'},,0
101,{'1166': 3},[3],1665492427615,phan497,[],{'MIN': 3},[3],"TransactionSettings(seq=8, waiver_bid=0)",TransactionStatus.FAILED,1665558292051,885543060904386560,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'},{'Kirk Cousins': 'phan497'},{'Minnesota Vikings': 'phan497'},0
106,{'59': 14},[14],1665462129787,mattlatham,[],{'1348': 14},[14],"TransactionSettings(seq=11, waiver_bid=0)",TransactionStatus.FAILED,1665558292051,885415982603149312,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'},{'Mason Crosby': 'mattlatham'},{'Dustin Hopkins': 'mattlatham'},0
109,{'6931': 1},[1],1665342880931,carlogesualdo,[],{'1387': 1},[1],"TransactionSettings(seq=9, waiver_bid=0)",TransactionStatus.FAILED,1665558292051,884915816649547776,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'},{'DeeJay Dallas': 'carlogesualdo'},{'Rex Burkhead': 'carlogesualdo'},0
137,{'JAX': 11},[11],1665704962766,lauramarkey,[],{'GB': 11},[11],"TransactionSettings(seq=1, waiver_bid=0)",TransactionStatus.FAILED,1665859523582,886434497938714624,TransactionType.WAIVER,[],6,{'notes': 'This player was claimed by another owner.'},{'Jacksonville Jaguars': 'lauramarkey'},{'Green Bay Packers': 'lauramarkey'},0
147,{'6850': 12},[12],1666744096933,anahan,[],,[12],"TransactionSettings(seq=8, waiver_bid=0)",TransactionStatus.FAILED,1666767889503,890792942531469312,TransactionType.WAIVER,[],7,{'notes': 'This player was claimed by another owner.'},{'Harrison Bryant': 'anahan'},,0
213,{'17': 3},[3],1667314121071,phan497,[],{'503': 3},[3],"TransactionSettings(seq=5, waiver_bid=0)",TransactionStatus.FAILED,1667372708116,893183797053693952,TransactionType.WAIVER,[],8,{'notes': 'This player was claimed by another owner.'},{'Matt Prater': 'phan497'},{'Graham Gano': 'phan497'},0
242,{'6945': 4},[4],1666803137440,andyhan4,[],{'3161': 4},[4],"TransactionSettings(seq=2, waiver_bid=0)",TransactionStatus.FAILED,1666898701725,891040576366247936,TransactionType.WAIVER,[],8,{'notes': 'This player was claimed by another owner.'},{'Antonio Gibson': 'andyhan4'},{'Carson Wentz': 'andyhan4'},0
249,{'4197': 1},[1],1667948345562,carlogesualdo,[],{'8121': 1},[1],"TransactionSettings(seq=6, waiver_bid=0)",TransactionStatus.FAILED,1667981104156,895843927373254656,TransactionType.WAIVER,[],9,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}",{'Isaiah McKenzie': 'carlogesualdo'},{'Romeo Doubs': 'carlogesualdo'},0
211,{'17': 1},[1],1667329029461,carlogesualdo,[],{'1266': 1},[1],"TransactionSettings(seq=8, waiver_bid=0)",TransactionStatus.FAILED,1667372708116,893246327369256960,TransactionType.WAIVER,[],8,{'notes': 'This player was claimed by another owner.'},{'Matt Prater': 'carlogesualdo'},{'Greg Zuerlein': 'carlogesualdo'},0
